Localidades;Períodos;Empregos Formais ;Empregos Formais das Pessoas com Ensino Fundamental Incompleto ;Empregos Formais das Pessoas com Ensino Fundamental Completo ;Empregos Formais das Pessoas com Ensino Médio Completo ;Empregos Formais das Pessoas com Ensino Superior Completo ;Cód. IBGE
Maracaí;2019;2728;620;397;1313;398;3528809
Marapoama;2019;1604;520;191;729;164;3528858
Mariápolis;2019;335;24;76;150;85;3528908
Marília;2019;69925;3873;8136;43949;13967;3529005
Marinópolis;2019;298;27;24;175;72;3529104
Martinópolis;2019;3068;340;320;1801;607;3529203
Matão;2019;33582;9177;5284;15231;3890;3529302
Mauá;2019;60677;3750;7239;41161;8527;3529401
Mendonça;2019;2441;661;530;1015;235;3529500
Meridiano;2019;2007;342;449;965;251;3529609
Mesópolis;2019;247;28;32;117;70;3529658
Miguelópolis;2019;2852;267;404;1726;455;3529708
Mineiros do Tietê;2019;1505;125;260;896;224;3529807
Mira Estrela;2019;435;80;79;166;110;3530003
Miracatu;2019;2981;296;472;1795;418;3529906
Mirandópolis;2019;3914;298;488;2581;547;3530102
Mirante do Paranapanema;2019;3693;397;661;2228;407;3530201
Mirassol;2019;14546;1311;2386;8580;2269;3530300
Mirassolândia;2019;772;113;108;445;106;3530409
Mococa;2019;17320;2879;2735;9380;2326;3530508
Mogi das Cruzes;2019;102112;5870;10598;68574;17070;3530607
Mogi Guaçu;2019;40284;5176;5634;22622;6852;3530706
Mogi Mirim;2019;28799;2308;4207;17208;5076;3530805
Mombuca;2019;628;143;119;258;108;3530904
Mongaguá;2019;6669;365;1003;4165;1136;3531100
Monte Alegre do Sul;2019;1353;160;434;560;199;3531209
Monte Alto;2019;13393;1139;2278;7802;2174;3531308
Monte Aprazível;2019;3772;436;681;1944;711;3531407
Monte Azul Paulista;2019;5338;1414;774;2442;708;3531506
Monte Castelo;2019;518;76;107;240;95;3531605
Monte Mor;2019;12429;1040;1957;7020;2412;3531803
Monteiro Lobato;2019;623;102;110;323;88;3531704
Monções;2019;932;247;136;415;134;3531001
Morro Agudo;2019;7201;1318;1336;3587;960;3531902
Morungaba;2019;4373;647;1074;2225;427;3532009
Motuca;2019;667;90;103;344;130;3532058
Murutinga do Sul;2019;445;94;46;205;100;3532108
Nantes;2019;370;57;48;181;84;3532157
Narandiba;2019;1106;151;114;669;172;3532207
Natividade da Serra;2019;675;159;105;282;129;3532306
Nazaré Paulista;2019;2813;263;434;1505;611;3532405
Neves Paulista;2019;1561;207;280;860;214;3532504
Nhandeara;2019;1763;162;233;1016;352;3532603
Nipoã;2019;647;146;127;255;119;3532702
Nova Aliança;2019;1396;205;267;720;204;3532801
Nova Campina;2019;2142;224;298;1280;340;3532827
Nova Canaã Paulista;2019;217;29;15;98;75;3532843
Nova Castilho;2019;62;11;13;32;6;3532868
Nova Europa;2019;3454;1178;655;1258;363;3532900
Nova Granada;2019;2892;319;580;1524;469;3533007
Nova Guataporanga;2019;237;55;29;90;63;3533106
Nova Independência;2019;1668;286;277;884;221;3533205
Nova Luzitânia;2019;279;11;31;147;90;3533304
Nova Odessa;2019;19490;2053;3108;11825;2504;3533403
Novais;2019;514;105;100;181;128;3533254
Novo Horizonte;2019;9578;1454;2197;4476;1451;3533502
Nuporanga;2019;3093;621;679;1440;353;3533601
Ocauçu;2019;858;200;159;396;103;3533700
Óleo;2019;334;46;70;158;60;3533809
Olímpia;2019;16313;1974;2385;9007;2947;3533908
Onda Verde;2019;2440;687;533;1044;176;3534005
Oriente;2019;885;95;133;525;132;3534104
Orindiúva;2019;3001;660;574;1204;563;3534203
Orlândia;2019;11820;1516;2811;5922;1571;3534302
Osasco;2019;162631;8856;19223;93949;40603;3534401
Oscar Bressane;2019;459;62;53;232;112;3534500
Osvaldo Cruz;2019;7794;363;1001;5117;1313;3534609
Ourinhos;2019;27939;2877;4519;15471;5072;3534708
Ouro Verde;2019;712;38;164;338;172;3534807
Ouroeste;2019;2630;351;410;1429;440;3534757
Pacaembu;2019;2119;101;161;1403;454;3534906
Palestina;2019;3543;943;649;1608;343;3535002
Palmares Paulista;2019;808;43;126;435;204;3535101
Palmeira d'Oeste;2019;1067;146;135;555;231;3535200
Palmital;2019;4199;456;631;2267;845;3535309
Panorama;2019;2684;85;745;1541;313;3535408
Paraguaçu Paulista;2019;12801;1800;1743;7525;1733;3535507
Paraibuna;2019;2697;507;491;1291;408;3535606
Paraíso;2019;1883;508;228;926;221;3535705
Paranapanema;2019;4815;1061;1228;1849;677;3535804
Paranapuã;2019;770;187;105;364;114;3535903
Parapuã;2019;2859;396;775;1331;357;3536000
Pardinho;2019;2268;451;572;1012;233;3536109
Pariquera-Açu;2019;4316;742;485;2322;767;3536208
Parisi;2019;339;53;49;171;66;3536257
Patrocínio Paulista;2019;4268;672;716;2238;642;3536307
Paulicéia;2019;2022;279;339;1183;221;3536406
Paulínia;2019;46650;3445;7239;26324;9642;3536505
Paulistânia;2019;314;48;63;144;59;3536570
Paulo de Faria;2019;1003;192;197;450;164;3536604
Pederneiras;2019;12153;1701;2869;6073;1510;3536703
Pedra Bela;2019;905;150;131;493;131;3536802
Pedranópolis;2019;448;79;93;202;74;3536901
Pedregulho;2019;3082;630;547;1471;434;3537008
Pedreira;2019;13352;2097;2844;6843;1568;3537107
Pedrinhas Paulista;2019;608;82;71;331;124;3537156
Pedro de Toledo;2019;929;123;180;482;144;3537206
Penápolis;2019;14448;1296;2963;7991;2198;3537305
Pereira Barreto;2019;5365;769;750;2905;941;3537404
Pereiras;2019;2506;520;520;1238;228;3537503
Peruíbe;2019;9792;470;1656;5940;1726;3537602
Piacatu;2019;994;64;198;493;239;3537701
Piedade;2019;7903;597;1247;5068;991;3537800
Pilar do Sul;2019;5707;567;1172;3171;797;3537909
Pindamonhangaba;2019;32635;1840;3394;20913;6488;3538006
Pindorama;2019;2485;234;468;1329;454;3538105
Pinhalzinho;2019;2141;283;395;1152;311;3538204
Piquerobi;2019;551;135;94;244;78;3538303
Piquete;2019;1405;142;132;857;274;3538501
Piracaia;2019;4807;477;650;2951;729;3538600
Piracicaba;2019;123221;9486;17197;71775;24763;3538709
Piraju;2019;6024;622;939;3536;927;3538808
Pirajuí;2019;3701;486;569;2155;491;3538907
Pirangi;2019;2497;359;438;1360;340;3539004
Pirapora do Bom Jesus;2019;2314;275;370;1138;531;3539103
Pirapozinho;2019;5483;429;1100;3014;940;3539202
Pirassununga;2019;22195;2356;3789;11823;4227;3539301
Piratininga;2019;1923;176;225;1237;285;3539400
Pitangueiras;2019;7831;1265;1429;4130;1007;3539509
Planalto;2019;2056;452;900;518;186;3539608
Platina;2019;521;98;90;224;109;3539707
Poá;2019;26410;2177;3230;17796;3207;3539806
Poloni;2019;956;183;258;407;108;3539905
Pompéia;2019;7579;466;832;4391;1890;3540002
Pongaí;2019;447;52;88;211;96;3540101
Pontal;2019;9652;4574;1905;2316;857;3540200
Pontalinda;2019;371;52;50;145;124;3540259
Pontes Gestal;2019;592;113;72;270;137;3540309
Populina;2019;522;73;89;244;116;3540408
Porangaba;2019;1391;140;400;685;166;3540507
Porto Feliz;2019;15993;1104;2195;9934;2760;3540606
Porto Ferreira;2019;15504;1483;3180;8666;2175;3540705
Potim;2019;1339;91;204;718;326;3540754
Potirendaba;2019;4462;672;984;2160;646;3540804
Pracinha;2019;274;4;97;125;48;3540853
Pradópolis;2019;7169;1610;1253;3458;848;3540903
Praia Grande;2019;52874;3232;8013;32185;9444;3541000
Pratânia;2019;1270;224;254;686;106;3541059
Presidente Alves;2019;563;111;109;284;59;3541109
Presidente Bernardes;2019;2515;241;317;1391;566;3541208
Presidente Epitácio;2019;5639;307;491;3855;986;3541307
Presidente Prudente;2019;66120;4581;7657;40516;13366;3541406
Presidente Venceslau;2019;5967;484;818;3719;946;3541505
Promissão;2019;8986;1692;2037;4137;1120;3541604
Quadra;2019;609;94;105;294;116;3541653
Quatá;2019;3842;600;606;2206;430;3541703
Queiroz;2019;3021;669;709;1402;241;3541802
Queluz;2019;1677;288;352;802;235;3541901
Quintana;2019;1287;137;201;754;195;3542008
Rafard;2019;2595;585;631;1114;265;3542107
Rancharia;2019;6989;909;1121;4089;870;3542206
Redenção da Serra;2019;934;92;123;622;97;3542305
Regente Feijó;2019;4959;400;976;2996;587;3542404
Reginópolis;2019;1073;204;250;484;135;3542503
Registro;2019;13550;729;1762;8748;2311;3542602
Restinga;2019;1656;392;331;702;231;3542701
Ribeira;2019;530;40;51;390;49;3542800
Ribeirão Bonito;2019;1753;250;468;697;338;3542909
Ribeirão Branco;2019;3553;328;1849;1137;239;3543006
Ribeirão Corrente;2019;722;176;115;307;124;3543105
Ribeirão do Sul;2019;607;71;54;338;144;3543204
Ribeirão dos Índios;2019;321;34;50;174;63;3543238
Ribeirão Grande;2019;597;100;115;280;102;3543253
Ribeirão Pires;2019;21585;1397;2326;13979;3883;3543303
Ribeirão Preto;2019;235784;15521;32920;136979;50364;3543402
Rifaina;2019;910;104;162;516;128;3543600
Rincão;2019;1411;218;441;543;209;3543709
Rinópolis;2019;1860;123;275;1198;264;3543808
Rio Claro;2019;64063;5179;9879;37642;11363;3543907
Rio das Pedras;2019;8776;916;1702;4931;1227;3544004
Rio Grande da Serra;2019;3576;280;434;2323;539;3544103
Riolândia;2019;1055;151;148;488;268;3544202
Riversul;2019;585;89;142;251;103;3543501
Rosana;2019;2481;159;350;1413;559;3544251
Roseira;2019;2402;316;374;1376;336;3544301
Rubiácea;2019;518;178;114;155;71;3544400
Rubinéia;2019;635;50;101;342;142;3544509
Sabino;2019;561;103;98;249;111;3544608
Sagres;2019;328;58;31;169;70;3544707
Sales;2019;864;75;197;413;179;3544806
Sales Oliveira;2019;2534;392;628;1140;374;3544905
Salesópolis;2019;2138;374;366;1052;346;3545001
Salmourão;2019;441;85;64;188;104;3545100
Saltinho;2019;1500;133;265;861;241;3545159
Salto;2019;31006;2073;5552;18574;4807;3545209
Salto de Pirapora;2019;6318;573;890;3761;1094;3545308
Salto Grande;2019;1409;148;270;733;258;3545407
Sandovalina;2019;2134;394;1033;428;279;3545506
Santa Adélia;2019;4625;1443;612;2046;524;3545605
Santa Albertina;2019;2976;814;527;1317;318;3545704
Santa Bárbara d'Oeste;2019;44758;4553;8583;25277;6345;3545803
Santa Branca;2019;2142;279;299;1231;333;3546009
Santa Clara d'Oeste;2019;771;97;168;372;134;3546108
Santa Cruz da Conceição;2019;1195;374;243;482;96;3546207
Santa Cruz da Esperança;2019;400;98;83;156;63;3546256
Santa Cruz das Palmeiras;2019;5757;1403;969;2483;902;3546306
Santa Cruz do Rio Pardo;2019;15234;3296;2600;7144;2194;3546405
Santa Ernestina;2019;543;18;139;266;120;3546504
Santa Fé do Sul;2019;9242;718;1234;5351;1939;3546603
Santa Gertrudes;2019;8228;756;2138;4388;946;3546702
Santa Isabel;2019;10041;926;1228;6596;1291;3546801
Santa Lúcia;2019;621;66;150;292;113;3546900
Santa Maria da Serra;2019;1208;126;210;770;102;3547007
Santa Mercedes;2019;363;44;79;178;62;3547106
Santa Rita d'Oeste;2019;333;54;50;160;69;3547403
Santa Rita do Passa Quatro;2019;5465;542;935;3180;808;3547502
Santa Rosa de Viterbo;2019;4251;378;568;2585;720;3547601
Santa Salete;2019;207;22;35;87;63;3547650
Santana da Ponte Pensa;2019;212;10;35;112;55;3547205
Santana de Parnaíba;2019;55249;3758;6071;31360;14060;3547304
Santo Anastácio;2019;3338;229;344;2147;618;3547700
Santo André;2019;214217;20791;31223;122622;39581;3547809
Santo Antônio da Alegria;2019;1125;213;271;453;188;3547908
Santo Antônio de Posse;2019;7918;1042;1354;4222;1300;3548005
Santo Antônio do Aracanguá;2019;1642;293;283;805;261;3548054
Santo Antônio do Jardim;2019;1218;185;269;612;152;3548104
Santo Antônio do Pinhal;2019;1169;73;188;717;191;3548203
Santo Expedito;2019;318;12;72;165;69;3548302
Santópolis do Aguapeí;2019;532;48;111;273;100;3548401
Santos;2019;178529;15542;24071;96516;42400;3548500
São Bento do Sapucaí;2019;1666;228;224;965;249;3548609
São Bernardo do Campo;2019;258124;18276;28957;149756;61135;3548708
São Caetano do Sul;2019;109344;7404;13117;65280;23543;3548807
São Carlos;2019;75703;4096;17119;37916;16572;3548906
São Francisco;2019;218;47;25;84;62;3549003
São João da Boa Vista;2019;23672;2231;4150;12588;4703;3549102
São João das Duas Pontes;2019;273;56;37;106;74;3549201
São João de Iracema;2019;259;61;50;84;64;3549250
São João do Pau d'Alho;2019;230;52;18;112;48;3549300
São Joaquim da Barra;2019;12468;1590;1846;7249;1783;3549409
São José da Bela Vista;2019;811;140;92;404;175;3549508
São José do Barreiro;2019;524;110;75;225;114;3549607
São José do Rio Pardo;2019;14529;1117;2026;9049;2337;3549706
São José do Rio Preto;2019;142230;8203;18342;84542;31143;3549805
São José dos Campos;2019;182177;7472;18099;113863;42743;3549904
São Lourenço da Serra;2019;8330;1262;2472;4205;391;3549953
São Luiz do Paraitinga;2019;1823;339;247;980;257;3550001
São Manuel;2019;8237;1302;1379;4415;1141;3550100
São Miguel Arcanjo;2019;4502;681;618;2564;639;3550209
São Paulo;2019;5109943;303275;564958;2583302;1658408;3550308
São Pedro;2019;6593;597;1150;3851;995;3550407
São Pedro do Turvo;2019;1345;310;293;538;204;3550506
São Roque;2019;21439;1893;3059;13219;3268;3550605
São Sebastião;2019;18477;1766;3092;10854;2765;3550704
São Sebastião da Grama;2019;2634;612;344;1251;427;3550803
São Simão;2019;3318;446;646;1835;391;3550902
São Vicente;2019;35824;3052;5665;20065;7042;3551009
Sarapuí;2019;1892;258;271;1166;197;3551108
Sarutaiá;2019;596;82;91;333;90;3551207
Sebastianópolis do Sul;2019;2262;448;474;1099;241;3551306
Serra Azul;2019;845;104;149;450;142;3551405
Serra Negra;2019;6444;933;1525;3334;652;3551603
Serrana;2019;7421;1370;1078;3810;1163;3551504
Sertãozinho;2019;41384;5999;8845;20223;6317;3551702
Sete Barras;2019;1854;432;520;699;203;3551801
Severínia;2019;2351;435;489;1074;353;3551900
Silveiras;2019;790;228;81;344;137;3552007
Socorro;2019;8208;794;1476;4798;1140;3552106
Sorocaba;2019;198658;9381;22223;127474;39580;3552205
Sud Mennucci;2019;1602;460;313;536;293;3552304
Sumaré;2019;56183;3108;7066;35625;10384;3552403
Suzanápolis;2019;1480;301;234;658;287;3552551
Suzano;2019;64894;2963;7013;44644;10274;3552502
Tabapuã;2019;1985;287;368;1031;299;3552601
Tabatinga;2019;3445;850;618;1608;369;3552700
Taboão da Serra;2019;64855;3869;8857;40484;11645;3552809
Taciba;2019;800;42;198;382;178;3552908
Taguaí;2019;4569;980;610;2631;348;3553005
Taiaçu;2019;665;119;111;283;152;3553104
Taiúva;2019;747;127;156;311;153;3553203
Tambaú;2019;5908;1380;1166;2707;655;3553302
Tanabi;2019;5417;765;984;2840;828;3553401
Tapiraí;2019;1157;147;310;569;131;3553500
Tapiratiba;2019;2684;752;320;1170;442;3553609
Taquaral;2019;547;126;142;195;84;3553658
Taquaritinga;2019;10676;1596;1558;5783;1739;3553708
Taquarituba;2019;4960;409;609;3251;691;3553807
Taquarivaí;2019;1429;128;512;601;188;3553856
Tarabai;2019;1018;89;186;561;182;3553906
Tarumã;2019;5047;628;954;2778;687;3553955
Tatuí;2019;29395;2490;4122;17961;4822;3554003
Taubaté;2019;81699;4412;9469;50339;17479;3554102
Tejupá;2019;1174;445;147;453;129;3554201
Teodoro Sampaio;2019;3304;357;460;1912;575;3554300
Terra Roxa;2019;1226;195;245;545;241;3554409
Tietê;2019;14193;1987;2584;7631;1991;3554508
Timburi;2019;445;101;40;205;99;3554607
Torre de Pedra;2019;223;29;38;105;51;3554656
Torrinha;2019;2091;288;459;1091;253;3554706
Trabiju;2019;354;48;91;146;69;3554755
Tremembé;2019;4826;484;653;2770;919;3554805
Três Fronteiras;2019;633;120;77;302;134;3554904
Tuiuti;2019;646;127;96;288;135;3554953
Tupã;2019;16584;1087;1845;11154;2498;3555000
Tupi Paulista;2019;2256;243;255;1286;472;3555109
Turiúba;2019;280;38;49;130;63;3555208
Turmalina;2019;316;84;50;104;78;3555307
Ubarana;2019;1460;372;254;674;160;3555356
Ubatuba;2019;20618;1484;2917;13998;2219;3555406
Ubirajara;2019;1448;518;289;515;126;3555505
Uchoa;2019;1265;78;273;659;255;3555604
União Paulista;2019;287;79;30;128;50;3555703
Urânia;2019;1284;140;187;781;176;3555802
Uru;2019;261;52;79;78;52;3555901
Urupês;2019;2708;266;422;1669;351;3556008
Valentim Gentil;2019;2937;174;422;2035;306;3556107
Valinhos;2019;48031;3213;7083;27407;10328;3556206
Valparaíso;2019;5816;991;1022;3048;755;3556305
Vargem;2019;936;148;210;429;149;3556354
Vargem Grande do Sul;2019;7387;1283;1334;3736;1034;3556404
Vargem Grande Paulista;2019;12025;928;1741;7292;2064;3556453
Várzea Paulista;2019;17467;1716;2911;10039;2801;3556503
Vera Cruz;2019;1240;177;153;700;210;3556602
Vinhedo;2019;37793;3490;5421;21260;7622;3556701
Viradouro;2019;2924;265;436;1714;509;3556800
Vista Alegre do Alto;2019;3383;1117;614;1331;321;3556909
Vitória Brasil;2019;206;31;41;77;57;3556958
Votorantim;2019;19684;901;1908;13329;3546;3557006
Votuporanga;2019;26440;2061;3636;15888;4855;3557105
Zacarias;2019;585;61;124;287;113;3557154
