mesorregiao;cidade
São José do Rio Preto;Aparecida d'Oeste
São José do Rio Preto;Aspásia
São José do Rio Preto;Dirce Reis
São José do Rio Preto;Dolcinópolis
São José do Rio Preto;Estrela d'Oeste
São José do Rio Preto;Fernandópolis
São José do Rio Preto;Guarani d'Oeste
São José do Rio Preto;Indiaporã
São José do Rio Preto;Álvares Florence
São José do Rio Preto;Américo de Campos
São José do Rio Preto;Cardoso
São José do Rio Preto;Cosmorama
São José do Rio Preto;Adolfo
São José do Rio Preto;Altair
São José do Rio Preto;Bady Bassitt
São José do Rio Preto;Bálsamo
São José do Rio Preto;Ariranha
São José do Rio Preto;Cajobi
São José do Rio Preto;Catanduva
São José do Rio Preto;Catiguá
São José do Rio Preto;Auriflama
São José do Rio Preto;Floreal
São José do Rio Preto;Gastão Vidigal
São José do Rio Preto;General Salgado
São José do Rio Preto;Macaubal
São José do Rio Preto;Monções
São José do Rio Preto;Monte Aprazível
São José do Rio Preto;Neves Paulista
São José do Rio Preto;Irapuã
São José do Rio Preto;Itajobi
São José do Rio Preto;Marapoama
São José do Rio Preto;Novo Horizonte
São José do Rio Preto;Jales
São José do Rio Preto;Marinópolis
São José do Rio Preto;Mesópolis
São José do Rio Preto;Nova Canaã Paulista
São José do Rio Preto;Macedônia
São José do Rio Preto;Meridiano
São José do Rio Preto;Mira Estrela
São José do Rio Preto;Ouroeste
São José do Rio Preto;Parisi
São José do Rio Preto;Pontes Gestal
São José do Rio Preto;Riolândia
São José do Rio Preto;Valentim Gentil
São José do Rio Preto;Cedral
São José do Rio Preto;Guapiaçu
São José do Rio Preto;Guaraci
São José do Rio Preto;Ibirá
São José do Rio Preto;Elisiário
São José do Rio Preto;Embaúba
São José do Rio Preto;Novais
São José do Rio Preto;Palmares Paulista
São José do Rio Preto;Guzolândia
São José do Rio Preto;Magda
São José do Rio Preto;Nova Castilho
São José do Rio Preto;Nova Luzitânia
São José do Rio Preto;Nhandeara
São José do Rio Preto;Nipoã
São José do Rio Preto;Poloni
São José do Rio Preto;Sebastianópolis do Sul
São José do Rio Preto;Sales
São José do Rio Preto;Urupês
São José do Rio Preto;Palmeira d'Oeste
São José do Rio Preto;Paranapuã
São José do Rio Preto;Pontalinda
São José do Rio Preto;Populina
São José do Rio Preto;Pedranópolis
São José do Rio Preto;São João das Duas Pontes
São José do Rio Preto;Turmalina
São José do Rio Preto;Votuporanga
São José do Rio Preto;Icém
São José do Rio Preto;Ipiguá
São José do Rio Preto;Jaci
São José do Rio Preto;José Bonifácio
São José do Rio Preto;Paraíso
São José do Rio Preto;Pindorama
São José do Rio Preto;Santa Adélia
São José do Rio Preto;Severínia
São José do Rio Preto;São João de Iracema
São José do Rio Preto;União Paulista
São José do Rio Preto;Rubineia
São José do Rio Preto;Santa Albertina
São José do Rio Preto;Santa Clara d'Oeste
São José do Rio Preto;Santa Fé do Sul
São José do Rio Preto;Mendonça
São José do Rio Preto;Mirassol
São José do Rio Preto;Mirassolândia
São José do Rio Preto;Nova Aliança
São José do Rio Preto;Tabapuã
São José do Rio Preto;Santa Rita d'Oeste
São José do Rio Preto;Santa Salete
São José do Rio Preto;Santana da Ponte Pensa
São José do Rio Preto;São Francisco
São José do Rio Preto;Nova Granada
São José do Rio Preto;Olímpia
São José do Rio Preto;Onda Verde
São José do Rio Preto;Orindiúva
São José do Rio Preto;São José do Rio Preto
São José do Rio Preto;Tanabi
São José do Rio Preto;Ubarana
São José do Rio Preto;Uchoa
São José do Rio Preto;Zacarias
Ribeirão Preto;Barretos
Ribeirão Preto;Colina
Ribeirão Preto;Colômbia
Ribeirão Preto;Guaíra
Ribeirão Preto;Ipuã
Ribeirão Preto;Jaborandi
Ribeirão Preto;Miguelópolis
Ribeirão Preto;Aramina
Ribeirão Preto;Buritizal
Ribeirão Preto;Guará
Ribeirão Preto;Igarapava
Ribeirão Preto;Cristais Paulista
Ribeirão Preto;Franca
Ribeirão Preto;Itirapuã
Ribeirão Preto;Jeriquara
Ribeirão Preto;Bebedouro
Ribeirão Preto;Cândido Rodrigues
Ribeirão Preto;Fernando Prestes
Ribeirão Preto;Guariba
Ribeirão Preto;Barrinha
Ribeirão Preto;Brodowski
Ribeirão Preto;Cravinhos
Ribeirão Preto;Dumont
Ribeirão Preto;Altinópolis
Ribeirão Preto;Batatais
Ribeirão Preto;Cajuru
Ribeirão Preto;Cássia dos Coqueiros
Ribeirão Preto;Morro Agudo
Ribeirão Preto;Nuporanga
Ribeirão Preto;Orlândia
Ribeirão Preto;Sales Oliveira
Ribeirão Preto;Ituverava
Ribeirão Preto;Patrocínio Paulista
Ribeirão Preto;Pedregulho
Ribeirão Preto;Restinga
Ribeirão Preto;Ribeirão Corrente
Ribeirão Preto;Jaboticabal
Ribeirão Preto;Monte Alto
Ribeirão Preto;Monte Azul Paulista
Ribeirão Preto;Pirangi
Ribeirão Preto;Guatapará
Ribeirão Preto;Jardinópolis
Ribeirão Preto;Luiz Antônio
Ribeirão Preto;Pontal
Ribeirão Preto;Santa Cruz da Esperança
Ribeirão Preto;Santo Antônio da Alegria
Ribeirão Preto;Rifaina
Ribeirão Preto;São José da Bela Vista
Ribeirão Preto;Pitangueiras
Ribeirão Preto;Santa Ernestina
Ribeirão Preto;Taiaçu
Ribeirão Preto;Taiuva
Ribeirão Preto;Pradópolis
Ribeirão Preto;Ribeirão Preto
Ribeirão Preto;Santa Rita do Passa Quatro
Ribeirão Preto;Santa Rosa de Viterbo
Ribeirão Preto;Taquaral
Ribeirão Preto;Taquaritinga
Ribeirão Preto;Terra Roxa
Ribeirão Preto;Viradouro
Ribeirão Preto;São Simão
Ribeirão Preto;Serra Azul
Ribeirão Preto;Serrana
Ribeirão Preto;Sertãozinho
Ribeirão Preto;Vista Alegre do Alto
Araçatuba;Andradina
Araçatuba;Castilho
Araçatuba;Guaraçaí
Araçatuba;Ilha Solteira
Araçatuba;Araçatuba
Araçatuba;Bento de Abreu
Araçatuba;Guararapes
Araçatuba;Lavínia
Araçatuba;Alto Alegre
Araçatuba;Avanhandava
Araçatuba;Barbosa
Araçatuba;Bilac
Araçatuba;Itapura
Araçatuba;Mirandópolis
Araçatuba;Murutinga do Sul
Araçatuba;Nova Independência
Araçatuba;Rubiácea
Araçatuba;Santo Antônio do Aracanguá
Araçatuba;Valparaíso
Araçatuba;Birigui
Araçatuba;Braúna
Araçatuba;Brejo Alegre
Araçatuba;Buritama
Araçatuba;Clementina
Araçatuba;Coroados
Araçatuba;Gabriel Monteiro
Araçatuba;Glicério
Araçatuba;Lourdes
Araçatuba;Luiziânia
Araçatuba;Penápolis
Araçatuba;Piacatu
Araçatuba;Santópolis do Aguapeí
Araçatuba;Turiúba
Bauru;Cafelândia
Bauru;Getulina
Bauru;Guaiçara
Bauru;Guaimbê
Bauru;Agudos
Bauru;Arealva
Bauru;Areiópolis
Bauru;Avaí
Bauru;Bariri
Bauru;Barra Bonita
Bauru;Bocaina
Bauru;Boraceia
Bauru;Arandu
Bauru;Avaré
Bauru;Cerqueira César
Bauru;Anhembi
Bauru;Bofete
Bauru;Botucatu
Bauru;Conchas
Bauru;Júlio Mesquita
Bauru;Lins
Bauru;Promissão
Bauru;Sabino
Bauru;Balbinos
Bauru;Bauru
Bauru;Borebi
Bauru;Cabrália Paulista
Bauru;Dois Córregos
Bauru;Igaraçu do Tietê
Bauru;Itaju
Bauru;Itapuí
Bauru;Iaras
Bauru;Itaí
Bauru;Itatinga
Bauru;Paranapanema
Bauru;Pardinho
Bauru;Pratânia
Bauru;São Manuel
Bauru;Duartina
Bauru;Guarantã
Bauru;Iacanga
Bauru;Lençóis Paulista
Bauru;Jaú
Bauru;Macatuba
Bauru;Mineiros do Tietê
Bauru;Pederneiras
Bauru;Lucianópolis
Bauru;Paulistânia
Bauru;Pirajuí
Bauru;Piratininga
Bauru;Pongaí
Bauru;Presidente Alves
Bauru;Reginópolis
Bauru;Ubirajara
Bauru;Uru
Araraquara;Américo Brasiliense
Araraquara;Araraquara
Araraquara;Boa Esperança do Sul
Araraquara;Borborema
Araraquara;Analândia
Araraquara;Descalvado
Araraquara;Dourado
Araraquara;Ibaté
Araraquara;Dobrada
Araraquara;Gavião Peixoto
Araraquara;Ibitinga
Araraquara;Itápolis
Araraquara;Ribeirão Bonito
Araraquara;São Carlos
Araraquara;Matão
Araraquara;Motuca
Araraquara;Nova Europa
Araraquara;Rincão
Araraquara;Santa Lúcia
Araraquara;Tabatinga
Araraquara;Trabiju
Piracicaba;Brotas
Piracicaba;Corumbataí
Piracicaba;Ipeúna
Piracicaba;Itirapina
Piracicaba;Araras
Piracicaba;Conchal
Piracicaba;Cordeirópolis
Piracicaba;Iracemápolis
Piracicaba;Águas de São Pedro
Piracicaba;Capivari
Piracicaba;Charqueada
Piracicaba;Jumirim
Piracicaba;Rio Claro
Piracicaba;Torrinha
Piracicaba;Leme
Piracicaba;Limeira
Piracicaba;Santa Cruz da Conceição
Piracicaba;Santa Gertrudes
Piracicaba;Mombuca
Piracicaba;Piracicaba
Piracicaba;Rafard
Piracicaba;Rio das Pedras
Piracicaba;Saltinho
Piracicaba;Santa Maria da Serra
Piracicaba;São Pedro
Piracicaba;Tietê
Campinas;Aguaí
Campinas;Pirassununga
Campinas;Porto Ferreira
Campinas;Santa Cruz das Palmeiras
Campinas;Águas da Prata
Campinas;Caconde
Campinas;Casa Branca
Campinas;Divinolândia
Campinas;Artur Nogueira
Campinas;Engenheiro Coelho
Campinas;Estiva Gerbi
Campinas;Itapira
Campinas;Americana
Campinas;Campinas
Campinas;Cosmópolis
Campinas;Elias Fausto
Campinas;Águas de Lindóia
Campinas;Amparo
Campinas;Lindoia
Campinas;Monte Alegre do Sul
Campinas;Espírito Santo do Pinhal
Campinas;Itobi
Campinas;Mococa
Campinas;Santo Antônio do Jardim
Campinas;Mogi Guaçu
Campinas;Mogi Mirim
Campinas;Santo Antônio de Posse
Campinas;Holambra
Campinas;Hortolândia
Campinas;Indaiatuba
Campinas;Jaguariúna
Campinas;Pedra Bela
Campinas;Pinhalzinho
Campinas;Serra Negra
Campinas;Socorro
Campinas;São João da Boa Vista
Campinas;São José do Rio Pardo
Campinas;São Sebastião da Grama
Campinas;Tambaú
Campinas;Monte Mor
Campinas;Nova Odessa
Campinas;Paulínia
Campinas;Pedreira
Campinas;Tapiratiba
Campinas;Vargem Grande do Sul
Campinas;Santa Bárbara d'Oeste
Campinas;Sumaré
Campinas;Valinhos
Campinas;Vinhedo
Presidente Prudente;Dracena
Presidente Prudente;Junqueirópolis
Presidente Prudente;Monte Castelo
Presidente Prudente;Nova Guataporanga
Presidente Prudente;Adamantina
Presidente Prudente;Flora Rica
Presidente Prudente;Flórida Paulista
Presidente Prudente;Inúbia Paulista
Presidente Prudente;Alfredo Marcondes
Presidente Prudente;Álvares Machado
Presidente Prudente;Anhumas
Presidente Prudente;Caiabu
Presidente Prudente;Ouro Verde
Presidente Prudente;Panorama
Presidente Prudente;Paulicéia
Presidente Prudente;Santa Mercedes
Presidente Prudente;Irapuru
Presidente Prudente;Lucélia
Presidente Prudente;Mariápolis
Presidente Prudente;Osvaldo Cruz
Presidente Prudente;Caiuá
Presidente Prudente;Emilianópolis
Presidente Prudente;Estrela do Norte
Presidente Prudente;Euclides da Cunha Paulista
Presidente Prudente;São João do Pau-d'Alho
Presidente Prudente;Tupi Paulista
Presidente Prudente;Pacaembu
Presidente Prudente;Parapuã
Presidente Prudente;Pracinha
Presidente Prudente;Rinópolis
Presidente Prudente;Indiana
Presidente Prudente;João Ramalho
Presidente Prudente;Marabá Paulista
Presidente Prudente;Martinópolis
Presidente Prudente;Sagres
Presidente Prudente;Salmourão
Presidente Prudente;Mirante do Paranapanema
Presidente Prudente;Narandiba
Presidente Prudente;Piquerobi
Presidente Prudente;Pirapozinho
Presidente Prudente;Presidente Bernardes
Presidente Prudente;Presidente Epitácio
Presidente Prudente;Presidente Prudente
Presidente Prudente;Presidente Venceslau
Presidente Prudente;Rancharia
Presidente Prudente;Regente Feijó
Presidente Prudente;Ribeirão dos Índios
Presidente Prudente;Rosana
Presidente Prudente;Teodoro Sampaio
Presidente Prudente;Sandovalina
Presidente Prudente;Santo Anastácio
Presidente Prudente;Santo Expedito
Presidente Prudente;Taciba
Presidente Prudente;Tarabai
Marília;Arco-Íris
Marília;Bastos
Marília;Herculândia
Marília;Iacri
Marília;Álvaro de Carvalho
Marília;Alvinlândia
Marília;Echaporã
Marília;Fernão
Marília;Queiroz
Marília;Quintana
Marília;Tupã
Marília;Gália
Marília;Garça
Marília;Lupércio
Marília;Marília
Marília;Ocauçu
Marília;Oriente
Marília;Oscar Bressane
Marília;Pompeia
Marília;Vera Cruz
Assis;Assis
Assis;Borá
Assis;Campos Novos Paulista
Assis;Cândido Mota
Assis;Bernardino de Campos
Assis;Canitar
Assis;Chavantes
Assis;Espírito Santo do Turvo
Assis;Cruzália
Assis;Florínea
Assis;Ibirarema
Assis;Iepê
Assis;Fartura
Assis;Ipaussu
Assis;Manduri
Assis;Óleo
Assis;Lutécia
Assis;Maracaí
Assis;Nantes
Assis;Palmital
Assis;Ourinhos
Assis;Piraju
Assis;Ribeirão do Sul
Assis;Salto Grande
Assis;Paraguaçu Paulista
Assis;Pedrinhas Paulista
Assis;Platina
Assis;Quatá
Assis;Santa Cruz do Rio Pardo
Assis;São Pedro do Turvo
Assis;Sarutaiá
Assis;Taguaí
Assis;Tarumã
Assis;Tejupá
Assis;Timburi
Itapetininga;Barão de Antonina
Itapetininga;Bom Sucesso de Itararé
Itapetininga;Buri
Itapetininga;Coronel Macedo
Itapetininga;Alambari
Itapetininga;Angatuba
Itapetininga;Campina do Monte Alegre
Itapetininga;Guareí
Itapetininga;Boituva
Itapetininga;Cerquilho
Itapetininga;Cesário Lange
Itapetininga;Laranjal Paulista
Itapetininga;Apiaí
Itapetininga;Barra do Chapéu
Itapetininga;Capão Bonito
Itapetininga;Guapiara
Itapetininga;Itaberá
Itapetininga;Itapeva
Itapetininga;Itaporanga
Itapetininga;Itararé
Itapetininga;Itapetininga
Itapetininga;Pereiras
Itapetininga;Porangaba
Itapetininga;Quadra
Itapetininga;Tatuí
Itapetininga;Iporanga
Itapetininga;Itaóca
Itapetininga;Itapirapuã Paulista
Itapetininga;Ribeira
Itapetininga;Tapiraí
Itapetininga;Torre de Pedra
Itapetininga;Ribeirão Branco
Itapetininga;Ribeirão Grande
Macro Metropolitana Paulista;Ibiúna
Macro Metropolitana Paulista;Piedade
Macro Metropolitana Paulista;Pilar do Sul
Macro Metropolitana Paulista;São Miguel Arcanjo
Macro Metropolitana Paulista;Alumínio
Macro Metropolitana Paulista;Araçariguama
Macro Metropolitana Paulista;Araçoiaba da Serra
Macro Metropolitana Paulista;Cabreúva
Macro Metropolitana Paulista;Campo Limpo Paulista
Macro Metropolitana Paulista;Itupeva
Macro Metropolitana Paulista;Jundiaí
Macro Metropolitana Paulista;Louveira
Macro Metropolitana Paulista;Atibaia
Macro Metropolitana Paulista;Bom Jesus dos Perdões
Macro Metropolitana Paulista;Bragança Paulista
Macro Metropolitana Paulista;Itatiba
Macro Metropolitana Paulista;Tapiraí
Macro Metropolitana Paulista;Capela do Alto
Macro Metropolitana Paulista;Iperó
Macro Metropolitana Paulista;Itu
Macro Metropolitana Paulista;Mairinque
Macro Metropolitana Paulista;Várzea Paulista
Macro Metropolitana Paulista;Jarinu
Macro Metropolitana Paulista;Joanópolis
Macro Metropolitana Paulista;Morungaba
Macro Metropolitana Paulista;Nazaré Paulista
Macro Metropolitana Paulista;Porto Feliz
Macro Metropolitana Paulista;Salto
Macro Metropolitana Paulista;Salto de Pirapora
Macro Metropolitana Paulista;São Roque
Macro Metropolitana Paulista;Piracaia
Macro Metropolitana Paulista;Tuiuti
Macro Metropolitana Paulista;Vargem
Macro Metropolitana Paulista;Sarapuí
Macro Metropolitana Paulista;Sorocaba
Macro Metropolitana Paulista;Votorantim
Vale do Paraíba Paulista;Campos do Jordão
Vale do Paraíba Paulista;Monteiro Lobato
Vale do Paraíba Paulista;Santo Antônio do Pinhal
Vale do Paraíba Paulista;São Bento do Sapucaí
Vale do Paraíba Paulista;Caçapava
Vale do Paraíba Paulista;Igaratá
Vale do Paraíba Paulista;Jacareí
Vale do Paraíba Paulista;Pindamonhangaba
Vale do Paraíba Paulista;Aparecida
Vale do Paraíba Paulista;Cachoeira Paulista
Vale do Paraíba Paulista;Canas
Vale do Paraíba Paulista;Cruzeiro
Vale do Paraíba Paulista;Arapeí
Vale do Paraíba Paulista;Areias
Vale do Paraíba Paulista;Bananal
Vale do Paraíba Paulista;São José do Barreiro
Vale do Paraíba Paulista;Cunha
Vale do Paraíba Paulista;Jambeiro
Vale do Paraíba Paulista;Lagoinha
Vale do Paraíba Paulista;Natividade da Serra
Vale do Paraíba Paulista;Caraguatatuba
Vale do Paraíba Paulista;Ilhabela
Vale do Paraíba Paulista;São Sebastião
Vale do Paraíba Paulista;Ubatuba
Vale do Paraíba Paulista;Santa Branca
Vale do Paraíba Paulista;São José dos Campos
Vale do Paraíba Paulista;Taubaté
Vale do Paraíba Paulista;Tremembé
Vale do Paraíba Paulista;Guaratinguetá
Vale do Paraíba Paulista;Lavrinhas
Vale do Paraíba Paulista;Lorena
Vale do Paraíba Paulista;Piquete
Vale do Paraíba Paulista;Silveiras
Vale do Paraíba Paulista;Paraibuna
Vale do Paraíba Paulista;Redenção da Serra
Vale do Paraíba Paulista;São Luiz do Paraitinga
Vale do Paraíba Paulista;Potim
Vale do Paraíba Paulista;Queluz
Vale do Paraíba Paulista;Roseira
Litoral Sul Paulista;Barra do Turvo
Litoral Sul Paulista;Cajati
Litoral Sul Paulista;Cananéia
Litoral Sul Paulista;Eldorado
Litoral Sul Paulista;Itanhaém
Litoral Sul Paulista;Itariri
Litoral Sul Paulista;Mongaguá
Litoral Sul Paulista;Pedro de Toledo
Litoral Sul Paulista;Iguape
Litoral Sul Paulista;Ilha Comprida
Litoral Sul Paulista;Jacupiranga
Litoral Sul Paulista;Juquiá
Litoral Sul Paulista;Peruíbe
Litoral Sul Paulista;Miracatu
Litoral Sul Paulista;Pariquera-Açu
Litoral Sul Paulista;Registro
Litoral Sul Paulista;Sete Barras
Metropolitana de São Paulo;Barueri
Metropolitana de São Paulo;Cajamar
Metropolitana de São Paulo;Carapicuíba
Metropolitana de São Paulo;Itapevi
Metropolitana de São Paulo;Caieiras
Metropolitana de São Paulo;Francisco Morato
Metropolitana de São Paulo;Franco da Rocha
Metropolitana de São Paulo;Mairiporã
Metropolitana de São Paulo;Arujá
Metropolitana de São Paulo;Guarulhos
Metropolitana de São Paulo;Santa Isabel
Metropolitana de São Paulo;Cotia
Metropolitana de São Paulo;Embu das Artes
Metropolitana de São Paulo;Embu-Guaçu
Metropolitana de São Paulo;Itapecerica da Serra
Metropolitana de São Paulo;Diadema
Metropolitana de São Paulo;Mauá
Metropolitana de São Paulo;Ribeirão Pires
Metropolitana de São Paulo;Rio Grande da Serra
Metropolitana de São Paulo;Biritiba Mirim
Metropolitana de São Paulo;Ferraz de Vasconcelos
Metropolitana de São Paulo;Guararema
Metropolitana de São Paulo;Itaquaquecetuba
Metropolitana de São Paulo;Bertioga
Metropolitana de São Paulo;Cubatão
Metropolitana de São Paulo;Guarujá
Metropolitana de São Paulo;Praia Grande
Metropolitana de São Paulo;Jandira
Metropolitana de São Paulo;Osasco
Metropolitana de São Paulo;Pirapora do Bom Jesus
Metropolitana de São Paulo;Santana de Parnaíba
Metropolitana de São Paulo;Juquitiba
Metropolitana de São Paulo;São Lourenço da Serra
Metropolitana de São Paulo;Taboão da Serra
Metropolitana de São Paulo;Vargem Grande Paulista
Metropolitana de São Paulo;Santo André
Metropolitana de São Paulo;São Bernardo do Campo
Metropolitana de São Paulo;São Caetano do Sul
Metropolitana de São Paulo;São Paulo
Metropolitana de São Paulo;Mogi das Cruzes
Metropolitana de São Paulo;Poá
Metropolitana de São Paulo;Salesópolis
Metropolitana de São Paulo;Suzano
Metropolitana de São Paulo;Santos
Metropolitana de São Paulo;São Vicente
